scenario,metric,comparison,median_target,median_baseline,wilcoxon_statistic,wilcoxon_p,p_holm,stars,rank_biserial_r,n_pairs,friedman_p_omnibus,significant
Resting (tau_v=0),IAE [rad x s],EADRC+ZPLP vs IMC-PID,0.7193544800669589,1.0020030705344731,333.0,4.880022648560255e-14,4.392020383704229e-13,***,-0.8681188118811881,100,2.802126398885092e-46,True
Resting (tau_v=0),Power [(Nm)^2],EADRC+ZPLP vs EADRC+EBMFLC,0.3213975659922955,0.4096648069346176,1306.0,2.7944806415712014e-05,0.0001956136449099841,***,-0.48277227722772276,100,3.7373697204556843e-31,True
Resting (tau_v=0),Power [(Nm)^2],EADRC+ZPLP vs DE-PID,0.3213975659922955,0.7895773365997367,0.0,3.955911608899571e-18,7.120640896019228e-17,***,-1.0,100,3.7373697204556843e-31,True
Resting (tau_v=0),Power [(Nm)^2],EADRC+ZPLP vs IMC-PID,0.3213975659922955,0.3111968049999177,2242.0,0.33138558298882426,0.7400556482710567,ns,-0.11207920792079208,100,3.7373697204556843e-31,False
Resting (tau_v=0),TV [Nm x s],EADRC+ZPLP vs EADRC+EBMFLC,259.6264565028336,287.0513147095136,1561.0,0.0009235842408031079,0.005541505444818648,**,-0.3817821782178218,100,5.952274788975338e-43,True
Resting (tau_v=0),TV [Nm x s],EADRC+ZPLP vs DE-PID,259.6264565028336,407.6952871615954,0.0,3.955911608899571e-18,7.120640896019228e-17,***,-1.0,100,5.952274788975338e-43,True
Resting (tau_v=0),TV [Nm x s],EADRC+ZPLP vs IMC-PID,259.6264565028336,198.12608131073904,182.0,7.995066335969457e-16,8.794572969566403e-15,***,0.927920792079208,100,5.952274788975338e-43,True
Deliberate motion (tau_v given by eq.22),TPSR [%],EADRC+ZPLP vs EADRC+EBMFLC,70.94052171822096,64.32511456194916,2069.0,0.117311874489448,0.351935623468344,ns,0.1805940594059406,100,1.6035434590789567e-42,False
Deliberate motion (tau_v given by eq.22),TPSR [%],EADRC+ZPLP vs DE-PID,70.94052171822096,99.95083788250041,0.0,3.955911608899571e-18,7.120640896019228e-17,***,-1.0,100,1.6035434590789567e-42,True
Deliberate motion (tau_v given by eq.22),TPSR [%],EADRC+ZPLP vs IMC-PID,70.94052171822096,49.80794633156556,805.0,3.3756918307680294e-09,2.7005534646144235e-08,***,0.6811881188118812,100,1.6035434590789567e-42,True
Deliberate motion (tau_v given by eq.22),R2,EADRC+ZPLP vs EADRC+EBMFLC,0.4986520819699719,0.46497622739978506,1591.0,0.0013288455452776689,0.006644227726388344,**,0.3699009900990099,100,1.6611676508390064e-55,True
Deliberate motion (tau_v given by eq.22),R2,EADRC+ZPLP vs DE-PID,0.4986520819699719,0.9991801481986151,0.0,3.955911608899571e-18,7.120640896019228e-17,***,-1.0,100,1.6611676508390064e-55,True
Deliberate motion (tau_v given by eq.22),R2,EADRC+ZPLP vs IMC-PID,0.4986520819699719,-0.030982437090217252,32.0,1.0346287121539768e-17,1.3450173258001697e-16,***,0.9873267326732673,100,1.6611676508390064e-55,True
Deliberate motion (tau_v given by eq.22),Entropy [bits],EADRC+ZPLP vs EADRC+EBMFLC,5.213386220012578,5.241988332226677,1946.0,0.04669337534526044,0.18677350138104176,ns,-0.22930693069306932,100,3.3625437767433232e-47,False
Deliberate motion (tau_v given by eq.22),Entropy [bits],EADRC+ZPLP vs DE-PID,5.213386220012578,4.903574987201556,148.0,3.0539014896669993e-16,3.359291638633699e-15,***,0.9413861386138613,100,3.3625437767433232e-47,True
Deliberate motion (tau_v given by eq.22),Entropy [bits],EADRC+ZPLP vs IMC-PID,5.213386220012578,5.4827446312632535,71.0,3.285794078194947e-17,3.942952893833936e-16,***,-0.9718811881188119,100,3.3625437767433232e-47,True
Deliberate motion (tau_v given by eq.22),IAE [rad x s],EADRC+ZPLP vs EADRC+EBMFLC,0.762373877910874,0.7925954999939901,2146.0,0.1931195369534816,0.3862390739069632,ns,-0.1500990099009901,100,1.2755851399727492e-43,False
Deliberate motion (tau_v given by eq.22),IAE [rad x s],EADRC+ZPLP vs DE-PID,0.762373877910874,0.031523318028515296,0.0,3.955911608899571e-18,7.120640896019228e-17,***,1.0,100,1.2755851399727492e-43,True
Deliberate motion (tau_v given by eq.22),IAE [rad x s],EADRC+ZPLP vs IMC-PID,0.762373877910874,0.9946706258537903,625.0,6.528924106967223e-11,5.876031696270501e-10,***,-0.7524752475247525,100,1.2755851399727492e-43,True
Deliberate motion (tau_v given by eq.22),Power [(Nm)^2],EADRC+ZPLP vs EADRC+EBMFLC,0.35379343775209326,0.44153699412268843,1288.0,2.123542557612282e-05,0.00014864797903285973,***,-0.4899009900990099,100,6.763268059200974e-30,True
Deliberate motion (tau_v given by eq.22),Power [(Nm)^2],EADRC+ZPLP vs DE-PID,0.35379343775209326,0.7600563631501913,0.0,3.955911608899571e-18,7.120640896019228e-17,***,-1.0,100,6.763268059200974e-30,True
Deliberate motion (tau_v given by eq.22),Power [(Nm)^2],EADRC+ZPLP vs IMC-PID,0.35379343775209326,0.33282900880440386,2212.0,0.2826091657037447,0.3862390739069632,ns,-0.12396039603960396,100,6.763268059200974e-30,False
Deliberate motion (tau_v given by eq.22),TV [Nm x s],EADRC+ZPLP vs EADRC+EBMFLC,274.280212075294,293.624851731448,1552.0,0.000826479553362829,0.004958877320176974,**,-0.38534653465346536,100,8.408622784642782e-46,True
Deliberate motion (tau_v given by eq.22),TV [Nm x s],EADRC+ZPLP vs DE-PID,274.280212075294,405.9806236883552,0.0,3.955911608899571e-18,7.120640896019228e-17,***,-1.0,100,8.408622784642782e-46,True
Deliberate motion (tau_v given by eq.22),TV [Nm x s],EADRC+ZPLP vs IMC-PID,274.280212075294,187.2119893207979,200.0,1.3235177292972826e-15,1.3235177292972827e-14,***,0.9207920792079208,100,8.408622784642782e-46,True
